Date;Академгородок;Дрокино;Кировский;КрАЗ;Ленина, 41;Минино;о. Молокова;Николаевка;Овинный-Таймыр;Партизана, 3г;Песчанка;Покровка;Шахтеров, 25;Солонцы;Спутник;Светлый;Свердловский;о. Татышев;Телевизорная, 1/31;Удачный;Ветлужанка;Mean
2019-03-09;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0;286.0
2019-03-10;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0;280.0
2019-03-11;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0;269.0
2019-03-12;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0;281.0
2019-03-13;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0
2019-03-14;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0;278.0
2019-03-15;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0;263.0
2019-03-16;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0;276.0
2019-03-17;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0;298.0
2019-03-18;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0;306.0
2019-03-19;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0
