Date;Березовка;Ветлужанка;Кировский;Кубеково;Покровка;Свердловский;Северный;Солнечный;Черемушки
2019-08-13;269.0;227.0;350.0;;286.0;78.0;142.0;286.0;270.0
2019-08-14;71.0;36.0;138.0;;87.0;123.0;6.0;97.0;83.0
2019-08-15;117.0;48.0;126.0;;89.0;115.0;9.0;123.0;83.0
2019-08-16;87.0;56.0;132.0;;85.0;91.0;17.0;108.0;80.0
2019-08-17;106.0;198.0;106.0;;22.0;39.0;12.0;67.0;144.0
2019-08-18;163.0;200.0;55.0;;344.0;27.0;26.0;48.0;51.0
2019-08-19;196.0;231.0;313.0;;244.0;243.0;162.0;267.0;231.0
2019-08-20;150.0;226.0;160.0;;188.0;234.0;45.0;175.0;225.0
2019-08-21;260.0;237.0;347.0;;272.0;100.0;158.0;267.0;258.0
2019-08-22;88.0;53.0;133.0;;103.0;93.0;18.0;128.0;81.0
2019-08-23;226.0;237.0;127.0;;66.0;201.0;116.0;165.0;88.0
2019-08-24;238.0;241.0;133.0;;243.0;211.0;161.0;217.0;230.0
2019-08-25;239.0;240.0;356.0;;244.0;198.0;168.0;232.0;235.0
2019-08-26;288.0;235.0;97.0;;290.0;95.0;123.0;257.0;155.0
2019-08-27;;48.0;141.0;;88.0;121.0;8.0;124.0;77.0
2019-08-28;;236.0;331.0;;247.0;214.0;141.0;239.0;244.0
2019-08-29;;48.0;131.0;;120.0;114.0;8.0;130.0;75.0
2019-08-30;;55.0;127.0;;91.0;142.0;11.0;123.0;252.0
2019-08-31;;243.0;100.0;;219.0;121.0;43.0;166.0;27.0
2019-09-01;;238.0;7.0;;260.0;230.0;151.0;236.0;249.0
2019-09-02;;45.0;141.0;;114.0;119.0;1.0;141.0;91.0
2019-09-03;;217.0;74.0;;334.0;92.0;45.0;92.0;302.0
2019-09-04;;244.0;96.0;;246.0;192.0;158.0;229.0;241.0
2019-09-05;;244.0;240.0;;233.0;223.0;154.0;256.0;237.0
2019-09-06;;173.0;63.0;;63.0;193.0;105.0;349.0;95.0
2019-09-07;;69.0;81.0;;79.0;65.0;13.0;113.0;74.0
2019-09-08;;65.0;126.0;;88.0;109.0;8.0;116.0;100.0
2019-09-09;;109.0;66.0;;89.0;65.0;8.0;120.0;74.0
2019-09-10;;249.0;261.0;;251.0;234.0;161.0;226.0;232.0
2019-09-11;;240.0;320.0;;253.0;234.0;156.0;230.0;243.0
2019-09-12;;235.0;332.0;;273.0;288.0;155.0;265.0;267.0
2019-09-13;;246.0;357.0;;265.0;245.0;164.0;248.0;243.0
2019-09-14;;241.0;324.0;;263.0;262.0;164.0;248.0;249.0
2019-09-15;;251.0;341.0;;251.0;217.0;173.0;227.0;238.0
2019-09-16;;158.0;94.0;;84.0;109.0;12.0;87.0;81.0
2019-09-17;;327.0;151.0;;219.0;231.0;128.0;186.0;245.0
2019-09-18;;251.0;67.0;;241.0;217.0;170.0;215.0;232.0
2019-09-19;;246.0;38.0;;231.0;218.0;148.0;199.0;227.0
2019-09-20;;248.0;146.0;;227.0;213.0;149.0;195.0;233.0
2019-09-21;;237.0;332.0;;270.0;82.0;160.0;258.0;272.0
2019-09-22;;64.0;71.0;;129.0;82.0;15.0;160.0;91.0
2019-09-23;;233.0;331.0;;249.0;171.0;141.0;209.0;250.0
2019-09-24;;236.0;161.0;;249.0;218.0;147.0;222.0;236.0
2019-09-25;;239.0;351.0;;274.0;74.0;135.0;250.0;280.0
2019-09-26;;237.0;97.0;;271.0;124.0;156.0;258.0;239.0
2019-09-27;;13.0;129.0;;124.0;160.0;5.0;139.0;118.0
2019-09-28;;236.0;327.0;;273.0;76.0;96.0;176.0;238.0
2019-09-29;;234.0;331.0;;270.0;225.0;157.0;239.0;244.0
2019-09-30;;240.0;335.0;;259.0;260.0;174.0;241.0;244.0
2019-10-01;;243.0;326.0;;257.0;236.0;171.0;232.0;234.0
2019-10-02;;241.0;144.0;;240.0;216.0;157.0;221.0;232.0
2019-10-03;;243.0;23.0;;244.0;229.0;168.0;215.0;233.0
2019-10-04;;245.0;4.0;;237.0;219.0;156.0;203.0;230.0
2019-10-05;;242.0;336.0;;260.0;248.0;169.0;247.0;240.0
